Dates ,9:00,10:00,11:00
1/1/2018,89.4,90.6,88.6
1/2/2018,108.2,104.6,106
1/3/2018,110,111.6,114.8
1/4/2018,106.4,104.4,109
1/5/2018,97.8,100.4,102.4
1/6/2018,87,90.8,87.2
1/7/2018,68.8,67,67.6
1/8/2018,110.2,113,116.2
1/9/2018,111.2,119.2,116
1/10/2018,109,114.6,114.2
1/11/2018,99.8,109,113.4
1/12/2018,111,114.8,120.4
1/13/2018,88.4,89.6,84.8
1/14/2018,63.4,63.6,66.8
1/15/2018,114.4,116.2,121.2
1/16/2018,111.2,114.6,124.6
1/17/2018,119.6,117.4,118.6
1/18/2018,117.6,123.6,133.8
1/19/2018,120.4,130.4,126.8
1/20/2018,105,101.4,100.8
1/21/2018,67.6,68,69.6
1/22/2018,133.8,132.4,138.4
1/23/2018,126,129,138.4
1/24/2018,119.2,129.4,133.8
1/25/2018,126.4,130.4,142.4
1/26/2018,124.6,124,135.6
1/27/2018,98,97.4,105.6
1/28/2018,65.6,68.4,66.2
1/29/2018,123.6,129.8,135.6
1/30/2018,128.4,131.8,141
1/31/2018,115.2,118.2,126.8
2/1/2018,118,119.6,123.6
2/2/2018,124.4,131,138
2/3/2018,94.4,94.2,95.8
2/4/2018,60.6,61.4,64
2/5/2018,123.6,132,149.6
2/6/2018,127.8,146.2,152.8
2/7/2018,130.4,138.8,149.6
2/8/2018,133.2,138,139.8
2/9/2018,126.4,130,135.4
2/10/2018,102.4,101,100.2
2/11/2018,62,66.8,63.2
2/12/2018,133,137.8,140.4
2/13/2018,141.2,144.8,146.4
2/14/2018,128,134.6,147.8
2/15/2018,122.2,130,138.8
2/16/2018,126.2,126,128.2
2/17/2018,97.2,96.2,96
2/18/2018,64,64.4,67
2/19/2018,123,131,152.6
2/20/2018,131.4,138.8,144.8
2/21/2018,129.4,137.8,145.2
2/22/2018,132.6,136.2,146.8
2/23/2018,131.8,130.6,135.8
2/24/2018,100.2,102.6,104.8
2/25/2018,67.4,73,71.4
2/26/2018,131.4,142.6,154.4
2/27/2018,139.8,141.6,149.2
2/28/2018,132.4,139,144
3/1/2018,121.8,128.2,145.8
3/2/2018,127.8,126,124.2
3/3/2018,103.6,103.4,104
3/4/2018,65.8,64,68.2
3/5/2018,127.4,136.6,148.4
3/6/2018,131.6,135,143.4
3/7/2018,122.2,133,140.8
3/8/2018,125.8,126.8,138.8
3/9/2018,124,123.8,131.2
3/10/2018,95,96.4,101.2
3/11/2018,57.6,57.8,56
3/12/2018,117.2,121.8,133.6
3/13/2018,120.2,124.8,137.2
3/14/2018,123.4,128.2,136
3/15/2018,115,127.8,134.6
3/16/2018,114,120,123
3/17/2018,92.8,97.2,97.4
3/18/2018,68.4,73,70.6
3/19/2018,139.2,148.8,156.4
3/20/2018,128.6,140,145.4
3/21/2018,124.6,129.6,131.6
3/22/2018,120.8,126.6,136.6
3/23/2018,118.4,127.6,131.2
3/24/2018,98.4,104,104.4
3/25/2018,63.2,63.4,62.6
3/26/2018,122.4,131.4,141
3/27/2018,127.8,140,138.8
3/28/2018,125.6,134.6,141.2
3/29/2018,126.4,133.8,134.6
3/30/2018,98.4,94,96.6
3/31/2018,93.8,97.2,97.6
4/1/2018,61.2,64.4,63.2
4/2/2018,99.2,98.8,96
4/3/2018,129.2,138.4,145
4/4/2018,127.6,133.8,140.4
4/5/2018,122.6,131,132.2
4/6/2018,124.6,129.8,131.4
4/7/2018,91.6,92.6,92.2
4/8/2018,58,58.8,60.2
4/9/2018,123.4,135,140.6
4/10/2018,126,136.4,138
4/11/2018,122.8,128.2,131
4/12/2018,123.8,134.8,137.4
4/13/2018,128.2,137.8,138
4/14/2018,94,94.6,96
4/15/2018,56,59,57.6
4/16/2018,109.4,117.6,121.4
4/17/2018,112.2,117.6,119.4
4/18/2018,109.2,121.6,123.6
4/19/2018,115.2,120.4,122.8
4/20/2018,109,112.8,120.8
4/21/2018,91.6,94,96
4/22/2018,58.8,60,61
4/23/2018,112.8,117.6,117.6
4/24/2018,113.8,117.2,121.2
4/25/2018,111.4,116.4,119.8
4/26/2018,114.4,117.4,119.4
4/27/2018,110.4,113.4,118.2
4/28/2018,91.4,93.4,97
4/29/2018,59.8,61.8,63.8
4/30/2018,133,139.2,143
5/1/2018,110.6,115.4,122.2
5/2/2018,109.2,123.4,122.8
5/3/2018,107,113.8,115.6
5/4/2018,98,102.8,108
5/5/2018,73.6,75.6,76.6
5/6/2018,59,60,62
5/7/2018,73,73,72.4
5/8/2018,106.2,111,115.2
5/9/2018,96.6,98.8,103.8
5/10/2018,92.4,109.6,114
5/11/2018,104,108.2,110.6
5/12/2018,74.8,75.2,78
5/13/2018,62.2,62.8,62.8
5/14/2018,102.6,109.6,109.4
5/15/2018,103.6,105.8,105.8
5/16/2018,105.2,107.6,106
5/17/2018,102,102.8,103.8
5/18/2018,99.6,104.4,105.6
5/19/2018,76.8,77.4,77.6
5/20/2018,58.8,60.4,60.6
5/21/2018,95.4,103,103.6
5/22/2018,95,98,99.6
5/23/2018,91.2,96.4,102.6
5/24/2018,93.4,102,101.2
5/25/2018,88.8,91.2,95
5/26/2018,73.2,74.8,73.8
5/27/2018,58.6,60.2,60.2
5/28/2018,69.4,69.4,69.6
5/29/2018,91,98.2,100.2
5/30/2018,92.4,93.4,95.8
5/31/2018,93.2,96.8,103.6
6/1/2018,92.8,94.2,98.8
6/2/2018,71.8,71.6,70.6
6/3/2018,57,57.2,56.6
6/4/2018,92.6,95.2,97.6
6/5/2018,94.2,112.4,119.2
6/6/2018,94.6,102.4,103.8
6/7/2018,89,91.8,93.2
6/8/2018,86,90.8,96
6/9/2018,72.8,73.8,72.8
6/10/2018,55.6,55.6,56.4
6/11/2018,91.8,95,99.4
6/12/2018,92.8,95.4,96.6
6/13/2018,91,98.8,104.8
6/14/2018,97.6,98.6,100.4
6/15/2018,89.6,90.4,98.2
6/16/2018,81.8,83.4,84.2
6/17/2018,55.6,56,57.4
6/18/2018,93,97.4,100.4
6/19/2018,91.2,105.2,106.4
6/20/2018,89,93.8,93.8
6/21/2018,92,102,103.2
6/22/2018,89.4,95.2,98.6
6/23/2018,73.4,76.2,75.8
6/24/2018,59.2,60.2,64.6
6/25/2018,97,107.4,108.6
6/26/2018,96.6,106.8,112.6
6/27/2018,98.8,106.6,109.6
6/28/2018,94.6,103.4,105.2
6/29/2018,91.8,101,103
6/30/2018,79,78.4,78.4
7/1/2018,61,62.6,62.6
7/2/2018,104.6,116.4,117.6
7/3/2018,89.4,100.6,99.2
7/4/2018,86.4,100.2,99.8
7/5/2018,90,100.2,102.2
7/6/2018,89,103,105.8
7/7/2018,69.6,69.8,70.6
7/8/2018,63.6,63.6,65.4
7/9/2018,93.6,105.8,109.8
7/10/2018,83.2,86.2,87.4
7/11/2018,79,94.2,98.4
7/12/2018,88.4,90.4,100
7/13/2018,84.2,91,90.8
7/14/2018,71.4,72.8,73.2
7/15/2018,65.2,66.8,67.6
7/16/2018,92.6,106,113.6
7/17/2018,90,107.4,102.8
7/18/2018,86.8,94.6,96
7/19/2018,86.4,98,100.4
7/20/2018,85.4,90.4,99.2
7/21/2018,72.2,71.2,73.8
7/22/2018,65.4,64.8,65.6
7/23/2018,106.8,106.8,119.2
7/24/2018,97.2,108.2,111.8
7/25/2018,105.8,109.8,111.6
7/26/2018,103,118.2,115.8
7/27/2018,96.4,105.8,106
7/28/2018,71,68.6,67.6
7/29/2018,58.2,60,61.8
7/30/2018,89.2,98.8,100.2
7/31/2018,90,99.2,95.2
8/1/2018,110.8,118.8,114.8
8/2/2018,84.2,94,95.4
8/3/2018,85.6,95.4,96.2
8/4/2018,69.2,68.2,71.2
8/5/2018,62.4,64.2,64.6
8/6/2018,87.8,102,99.2
8/7/2018,85.2,102.4,105
8/8/2018,84.8,97.4,96
8/9/2018,83.6,97,102.6
8/10/2018,81.8,85.8,87.8
8/11/2018,68.6,68.6,68.2
8/12/2018,58.2,60.2,62
8/13/2018,87.6,98.6,93.4
8/14/2018,94.4,97.6,99.4
8/15/2018,87.4,90.2,97
8/16/2018,94,107.4,104.8
8/17/2018,89.4,99.8,96.8
8/18/2018,70,71.2,70.2
8/19/2018,58.2,57.2,57.6
8/20/2018,89,96.8,94.6
8/21/2018,88.6,97,98.4
8/22/2018,88.8,96.6,92
8/23/2018,90,92.6,91.2
8/24/2018,82.2,84.2,86.2
8/25/2018,61.8,62.4,62.6
8/26/2018,54.2,54,53.8
8/27/2018,62.4,61.6,62
8/28/2018,76.2,80.2,80
8/29/2018,78.6,83,82.6
8/30/2018,75.6,78.2,77.4
8/31/2018,73.6,75,77.4
9/1/2018,62,63.2,65.2
9/2/2018,53.4,55,54.4
9/3/2018,86.2,89.6,91.6
9/4/2018,79.2,82.8,86.8
9/5/2018,83.6,89.8,89.6
9/6/2018,87.8,92,94.2
9/7/2018,89,92.6,95.2
9/8/2018,75.2,77.8,76.2
9/9/2018,55,55.2,55
9/10/2018,87.6,88.8,93
9/11/2018,88,92.8,92.6
9/12/2018,87.2,89.6,92.8
9/13/2018,91.4,94.4,100.2
9/14/2018,93,93,92.8
9/15/2018,77,75.6,76.2
9/16/2018,56.2,57.2,58.8
9/17/2018,97.6,100.4,104
9/18/2018,102.8,106.6,107.2
9/19/2018,105,106.8,113.8
9/20/2018,98.6,107.2,110
9/21/2018,88.6,108.6,113.4
9/22/2018,76.6,76.2,77.2
9/23/2018,58.4,56.6,56.2
9/24/2018,105.4,111.2,120.2
9/25/2018,105.8,113.4,119
9/26/2018,107.2,110.2,110.6
9/27/2018,106.4,111,114.2
9/28/2018,101,106.8,105.8
9/29/2018,74.2,73.8,75
9/30/2018,54,55.8,57.2
10/1/2018,104.4,110.2,120.4
10/2/2018,104.4,110.8,110.2
10/3/2018,107.2,117.4,126
10/4/2018,108.8,115,118
10/5/2018,99.8,105,108.8
10/6/2018,72.4,75.4,76.2
10/7/2018,53,52.6,51.8
10/8/2018,106,116.6,128.4
10/9/2018,110.2,117.2,117.4
10/10/2018,121,117.6,136.8
10/11/2018,119.4,123.2,135.6
10/12/2018,105,108.2,122.4
10/13/2018,90.8,99.6,105.8
10/14/2018,56,55.8,55.8
10/15/2018,105.8,112,122.8
10/16/2018,103.6,122,134
10/17/2018,110.6,111.8,127
10/18/2018,112.2,116.2,123.8
10/19/2018,111.2,116.4,127.2
10/20/2018,81,83,85.2
10/21/2018,63.8,61.6,61.6
10/22/2018,106,106.8,118.8
10/23/2018,117.6,122.4,123.6
10/24/2018,107.2,113,112.4
10/25/2018,104.2,109.8,115.8
10/26/2018,102.2,106.8,114.8
10/27/2018,81.2,79,81.6
10/28/2018,59.2,62.8,63.8
10/29/2018,81.4,87,109.2
10/30/2018,95.6,113.6,123.6
10/31/2018,103.6,110,117.8
11/1/2018,104.4,105.4,115.2
11/2/2018,105.2,116,105.8
11/3/2018,81,81.4,84.6
11/4/2018,64.6,67.6,72.8
11/5/2018,108,113.6,116.8
11/6/2018,97,111.8,118
11/7/2018,103.4,105.8,112.8
11/8/2018,98.6,115,108
11/9/2018,116.2,127.6,112
11/10/2018,81.6,85.2,87.8
11/11/2018,55.8,60.6,57.2
11/12/2018,100.8,113.6,116.4
11/13/2018,106.2,106.2,116.4
11/14/2018,110.4,112,111.4
11/15/2018,103.4,103.4,114.2
11/16/2018,98,102.6,114.8
